transcript_ref,transcript_base,transcript_version
NM_000575.5,NM_000575,5
NM_000576.3,NM_000576,3
NM_000577.5,NM_000577,5
NM_000578.4,NM_000578,4
NM_000579.4,NM_000579,4
NM_000581.4,NM_000581,4
NM_000582.3,NM_000582,3
NM_000583.4,NM_000583,4
NM_000584.4,NM_000584,4
NM_000585.5,NM_000585,5
NM_000586.4,NM_000586,4
NM_000587.4,NM_000587,4
NM_000588.4,NM_000588,4
NM_000589.4,NM_000589,4
NM_000590.2,NM_000590,2
NM_000591.4,NM_000591,4
NM_000592.4,NM_000592,4
NM_000593.6,NM_000593,6
NM_000594.4,NM_000594,4
NM_000595.4,NM_000595,4
NM_000596.4,NM_000596,4
NM_000597.3,NM_000597,3
NM_000598.5,NM_000598,5
NM_000599.4,NM_000599,4
NM_000600.5,NM_000600,5
NM_000601.6,NM_000601,6
NM_000602.5,NM_000602,5
NM_000603.5,NM_000603,5
NM_000604.2,NM_000604,2
NM_000605.4,NM_000605,4
NM_000606.3,NM_000606,3
NM_000607.4,NM_000607,4
NM_000608.4,NM_000608,4
NM_000609.7,NM_000609,7
NM_000610.4,NM_000610,4
NM_000611.6,NM_000611,6
NM_000612.6,NM_000612,6
NM_000613.3,NM_000613,3
NM_000614.4,NM_000614,4
NM_000615.7,NM_000615,7
NM_000616.5,NM_000616,5
NM_000617.3,NM_000617,3
NM_000618.5,NM_000618,5
NM_000619.3,NM_000619,3
NM_000620.5,NM_000620,5
NM_000621.5,NM_000621,5
NM_000623.4,NM_000623,4
NM_000624.6,NM_000624,6
NM_000625.4,NM_000625,4
NM_000626.4,NM_000626,4
NM_000627.4,NM_000627,4
NM_000628.5,NM_000628,5
NM_000629.3,NM_000629,3
NM_000631.5,NM_000631,5
NM_000632.4,NM_000632,4
NM_000633.3,NM_000633,3
NM_000634.3,NM_000634,3
NM_000635.4,NM_000635,4
NM_000636.4,NM_000636,4
NM_000637.5,NM_000637,5
NM_000638.4,NM_000638,4
NM_000639.3,NM_000639,3
NM_000640.3,NM_000640,3
NM_000641.4,NM_000641,4
NM_000642.3,NM_000642,3
NM_000643.2,NM_000643,2
NM_000644.2,NM_000644,2
NM_000645.2,NM_000645,2
NM_000646.2,NM_000646,2
NM_000647.4,NM_000647,4
NM_000648.2,NM_000648,2
NM_000651.6,NM_000651,6
NM_000655.5,NM_000655,5
NM_000657.3,NM_000657,3
NM_000658.2,NM_000658,2
NM_000659.1,NM_000659,1
NM_000660.7,NM_000660,7
NM_000661.5,NM_000661,5
NM_000662.8,NM_000662,8
NM_000663.5,NM_000663,5
NM_000664.3,NM_000664,3
NM_000665.5,NM_000665,5
NM_000666.3,NM_000666,3
NM_000667.4,NM_000667,4
NM_000668.6,NM_000668,6
NM_000669.5,NM_000669,5
NM_000670.5,NM_000670,5
NM_000671.4,NM_000671,4
NM_000672.4,NM_000672,4
NM_000673.7,NM_000673,7
NM_000674.3,NM_000674,3
NM_000675.6,NM_000675,6
NM_000676.4,NM_000676,4
NM_000677.4,NM_000677,4
NM_000678.4,NM_000678,4
NM_000679.4,NM_000679,4
NM_000680.4,NM_000680,4
NM_000681.4,NM_000681,4
NM_000682.7,NM_000682,7
NM_000683.4,NM_000683,4
NM_000684.3,NM_000684,3
NM_000685.5,NM_000685,5
NM_000686.5,NM_000686,5
NM_000687.4,NM_000687,4
NM_000688.6,NM_000688,6
NM_000689.5,NM_000689,5
NM_000690.4,NM_000690,4
NM_000691.5,NM_000691,5
NM_000692.5,NM_000692,5
NM_000693.4,NM_000693,4
NM_000694.4,NM_000694,4
NM_000695.3,NM_000695,3
NM_000696.4,NM_000696,4
NM_000697.3,NM_000697,3
NM_000698.5,NM_000698,5
NM_000699.4,NM_000699,4
NM_000700.3,NM_000700,3
NM_000701.8,NM_000701,8
NM_000702.4,NM_000702,4
NM_000703.1,NM_000703,1
NM_000704.3,NM_000704,3
NM_000705.4,NM_000705,4
NM_000706.5,NM_000706,5
NM_000707.5,NM_000707,5
NM_000709.4,NM_000709,4
NM_000710.4,NM_000710,4
NM_000711.1,NM_000711,1
NM_000712.4,NM_000712,4
NM_000713.3,NM_000713,3
NM_000714.6,NM_000714,6
NM_000715.4,NM_000715,4
NM_000716.3,NM_000716,3
NM_000717.5,NM_000717,5
NM_000718.4,NM_000718,4
NM_000719.7,NM_000719,7
NM_000720.4,NM_000720,4
NM_000721.4,NM_000721,4
NM_000722.4,NM_000722,4
NM_000723.5,NM_000723,5
NM_000724.4,NM_000724,4
NM_000725.4,NM_000725,4
NM_000726.5,NM_000726,5
NM_000727.4,NM_000727,4
NM_000728.4,NM_000728,4
NM_000729.6,NM_000729,6
NM_000730.3,NM_000730,3
NM_000731.2,NM_000731,2
NM_000732.6,NM_000732,6
NM_000733.4,NM_000733,4
NM_000734.4,NM_000734,4
NM_000735.4,NM_000735,4
NM_000737.5,NM_000737,5
NM_000738.3,NM_000738,3
NM_000739.3,NM_000739,3
NM_000740.4,NM_000740,4
NM_000741.5,NM_000741,5
NM_000742.4,NM_000742,4
NM_000743.5,NM_000743,5
NM_000744.7,NM_000744,7
NM_000745.4,NM_000745,4
NM_000746.6,NM_000746,6
NM_000747.3,NM_000747,3
NM_000748.3,NM_000748,3
NM_000749.5,NM_000749,5
NM_000750.5,NM_000750,5
NM_000751.3,NM_000751,3
NM_000752.1,NM_000752,1
NM_000754.4,NM_000754,4
NM_000755.5,NM_000755,5
NM_000756.4,NM_000756,4
NM_000757.6,NM_000757,6
NM_000758.4,NM_000758,4
NM_000759.4,NM_000759,4
NM_000760.4,NM_000760,4
NM_000761.5,NM_000761,5
NM_000762.6,NM_000762,6
NM_000764.3,NM_000764,3
NM_000765.5,NM_000765,5
NM_000766.5,NM_000766,5
NM_000767.5,NM_000767,5
NM_000769.4,NM_000769,4
NM_000770.3,NM_000770,3
NM_000771.4,NM_000771,4
NM_000772.3,NM_000772,3
NM_000773.4,NM_000773,4
NM_000774.5,NM_000774,5
NM_000775.4,NM_000775,4
NM_000776.1,NM_000776,1
NM_000777.5,NM_000777,5
NM_000778.4,NM_000778,4
NM_000779.4,NM_000779,4
NM_000780.4,NM_000780,4
NM_000781.3,NM_000781,3
NM_000782.5,NM_000782,5
NM_000783.4,NM_000783,4
NM_000784.4,NM_000784,4
NM_000785.4,NM_000785,4
NM_000786.4,NM_000786,4
NM_000787.4,NM_000787,4
NM_000788.3,NM_000788,3
NM_000789.4,NM_000789,4
NM_000790.4,NM_000790,4
NM_000791.4,NM_000791,4
NM_000792.7,NM_000792,7
NM_000793.6,NM_000793,6
NM_000794.5,NM_000794,5
NM_000795.4,NM_000795,4
NM_000796.6,NM_000796,6
NM_000797.4,NM_000797,4
NM_000798.5,NM_000798,5
NM_000799.4,NM_000799,4
NM_000800.5,NM_000800,5
NM_000801.5,NM_000801,5
NM_000802.3,NM_000802,3
NM_000803.5,NM_000803,5
NM_000804.4,NM_000804,4
NM_000805.5,NM_000805,5
NM_000806.5,NM_000806,5
NM_000807.4,NM_000807,4
NM_000808.4,NM_000808,4
NM_000809.4,NM_000809,4
NM_000810.4,NM_000810,4
NM_000811.3,NM_000811,3
NM_000812.4,NM_000812,4
NM_000813.3,NM_000813,3
NM_000814.6,NM_000814,6
NM_000815.5,NM_000815,5
NM_000816.3,NM_000816,3
NM_000817.3,NM_000817,3
